标的,品种,数据源,事件类型,事件日,当日波动率,事件日收盘,5日最低,5日最高,5日最低相对,5日最高相对,T5收盘涨跌%
159915,创业板ETF,HV20(代理),冰点·≤历史P5,2023-03-13,14.31,2.287,2.213,2.25,-3.24,0.7,-2.67
159915,创业板ETF,HV20(代理),冰点·≤历史P5,2023-12-04,12.84,1.858,1.816,1.841,-2.26,0.75,0.54
159915,创业板ETF,HV20(代理),冰点·≤历史P5,2024-08-28,13.9,1.501,1.484,1.522,-1.13,4.66,1.6
159915,创业板ETF,HV20(代理),冰点·≤历史P5,2025-06-13,14.05,2.02,1.987,2.015,-1.63,1.04,-1.58
159915,创业板ETF,HV20(代理),高点·≥历史P95,2022-09-28,22.57,2.249,2.166,2.206,-3.69,1.73,1.11
159915,创业板ETF,HV20(代理),高点·≥历史P95,2022-10-10,24.13,2.166,2.169,2.206,0.14,9.88,9.05
159915,创业板ETF,HV20(代理),高点·≥历史P95,2022-10-28,32.91,2.187,2.164,2.231,-1.05,9.47,8.96
159915,创业板ETF,HV20(代理),高点·≥历史P95,2024-02-06,36.41,1.623,1.614,1.666,-0.55,6.96,4.93
159915,创业板ETF,HV20(代理),高点·≥历史P95,2024-02-19,37.04,1.697,1.676,1.701,-1.24,2.3,0.41
159915,创业板ETF,HV20(代理),高点·≥历史P95,2024-09-27,45.07,1.86,1.928,2.152,3.66,43.98,10.75
159915,创业板ETF,HV20(代理),高点·≥历史P95,2024-10-08,95.28,2.678,2.022,2.124,-24.5,-7.47,-23.64
159915,创业板ETF,HV20(代理),高点·≥历史P95,2025-04-07,48.61,1.775,1.743,1.838,-1.8,8.11,6.76
159915,创业板ETF,HV20(代理),高点·≥历史P95,2025-05-06,51.55,1.958,1.953,2.001,-0.26,5.46,3.68
159915,创业板ETF,HV20(代理),高点·≥历史P95,2026-06-26,44.97,4.215,4.0,4.13,-5.1,3.87,-4.22
159915,创业板ETF,HV20(代理),高点·≥历史P95,2026-07-02,48.73,4.036,3.831,3.98,-5.08,2.33,0.1
159915,创业板ETF,HV20(代理),高点·≥历史P95,2026-07-10,48.64,3.862,3.408,3.679,-11.76,1.63,-10.33
